Rinf,s50,c,sigma
333.9,209.54,1.4692,0.3379
387.45,260.59,1.4082,0.30979
362.73,218.47,1.5236,0.31193
351.49,241.3,1.4582,0.37299
381.62,239.14,1.4701,0.3441
395.57,252.01,1.4741,0.32696
379.76,282.76,1.3231,0.28984
282.21,184.99,1.5698,0.35529
373.7,256.05,1.4319,0.29337
399.79,266.79,1.415,0.39535
396.01,262.49,1.4501,0.35478
362.48,220.34,1.5296,0.31248
333.57,212.75,1.5438,0.3202
334.37,205.07,1.6001,0.33053
372.87,237.13,1.467,0.3646
392.14,233.7,1.553,0.37834
339.21,214.46,1.5234,0.40017
302.22,210.51,1.3864,0.36729
272.34,170.63,1.6061,0.33952
257.18,168.75,1.5153,0.33346
368.31,231.2,1.4674,0.31572
387.96,239.05,1.4958,0.34369
379.76,251.81,1.4486,0.35232
362.94,240.33,1.4479,0.37624
337.91,218.71,1.4965,0.37279
398.4,260.33,1.4361,0.35892
336.09,223.75,1.4332,0.36562
393.16,255.91,1.4218,0.3151
394.11,239.95,1.4788,0.37946
350.74,217.29,1.5003,0.33361
320.8,181.67,1.607,0.36584
383.19,257.82,1.4642,0.34944
381.71,220.04,1.5417,0.32683
324.76,178.45,1.6846,0.37377
256.51,172.88,1.5304,0.2912
388.54,251.85,1.4511,0.36049
324.19,215.08,1.4444,0.31437
206.18,127.18,1.646,0.34209
385.33,237.59,1.5532,0.43691
378.42,242.72,1.5396,0.33106
358.3,220.96,1.5791,0.3462
350.89,226.14,1.4274,0.33983
342.64,206.88,1.4959,0.34345
337.56,204.15,1.4948,0.35821
343.79,183.63,1.6786,0.38835
366.02,222.47,1.5426,0.32285
383.55,247.16,1.4852,0.32347
358.81,219.72,1.5567,0.38632
393.07,268.61,1.36,0.32465
391.18,244.95,1.4518,0.34314
316.65,221.96,1.317,0.36889
364.21,239.91,1.4621,0.3196
361.68,230.61,1.4772,0.36906
257.72,175.43,1.5584,0.33059
359.63,198.48,1.6137,0.37213
314.03,196.96,1.4984,0.35392
359.23,241.69,1.4661,0.31347
376.81,249.73,1.399,0.30277
370.07,234.86,1.458,0.33621
257.44,195.36,1.343,0.37114
334.58,237.51,1.3428,0.33325
344.97,264.25,1.4052,0.33425
302.19,177.09,1.6055,0.36301
341.64,218.88,1.4432,0.34791
347.52,214.84,1.4264,0.3862
310.99,203.34,1.5384,0.32481
285.93,200.6,1.399,0.32884
317.47,201.09,1.5415,0.35734
339.76,242.18,1.4332,0.29845
253.08,167.67,1.5129,0.36341
392.62,247.03,1.4538,0.32074
374.03,241.53,1.5073,0.34616
343.34,211.23,1.45,0.42065
370.65,224.2,1.5693,0.30535
228.46,138.31,1.7003,0.35992
368.05,226.01,1.5198,0.39116
392.86,242.55,1.4545,0.32849
286.18,192.36,1.4903,0.35209
326.25,185.81,1.5926,0.31639
277.62,185.05,1.557,0.27916
290.35,178.95,1.6153,0.26596
288.92,171.78,1.5874,0.30528
378.06,267.12,1.347,0.33868
363.25,274.35,1.3724,0.27269
383.08,279.23,1.3675,0.33646
390.57,307.77,1.2888,0.30591
350.88,232.12,1.3963,0.4022
364.88,295.24,1.2743,0.37703
310.82,227.65,1.3396,0.3187
260.93,169.78,1.6833,0.38029
368.54,239.11,1.4637,0.36656
247.29,162.37,1.4192,0.36167
293.5,172.55,1.6227,0.32717
395.49,256.86,1.45,0.39672
350.28,214.12,1.5697,0.39731
348.26,216.61,1.5609,0.34462
349.52,229.25,1.4755,0.35676
301.56,189.05,1.6233,0.38226
393.42,274.22,1.4256,0.32205
343.22,225.65,1.3851,0.37383
322.28,197.79,1.565,0.36535
389.34,244.58,1.5018,0.37671
304.02,206.56,1.403,0.33044
369.3,253.92,1.4402,0.34481
371.68,266.04,1.3518,0.30041
397.07,301.37,1.2975,0.38229
357.84,262.67,1.2926,0.37432
387.12,286.39,1.4056,0.36049
331.61,218.55,1.4211,0.32507
292.09,176.57,1.5218,0.48132
323.09,217.12,1.4574,0.33473
365.71,191.16,1.5856,0.44809
343.23,206.91,1.5443,0.40626
324.61,223.65,1.4874,0.33872
391.88,286.89,1.372,0.35029
308.39,205.96,1.4867,0.2866
325.51,229.15,1.3955,0.29693
347.27,221.57,1.5415,0.29574
372.24,249.92,1.4449,0.33785
368.41,236.55,1.4985,0.32724
384.99,296.62,1.2955,0.30478
380,265.04,1.3492,0.34582
318.77,201.24,1.4337,0.38365
322.89,181.16,1.6596,0.34809
365.3,248.24,1.441,0.3635
278.1,190.31,1.4727,0.31882
362.3,253.87,1.431,0.31905
396.02,294.31,1.2478,0.33342
396.11,248.64,1.4521,0.28663
360.04,229.49,1.4764,0.3574
371.92,297.38,1.2967,0.29945
363.9,219.3,1.5582,0.39365
363.82,233.61,1.4621,0.37769
361.75,241.95,1.4719,0.29526
327,237.87,1.3624,0.32156
319.37,200.26,1.4903,0.35386
370.6,260.03,1.3979,0.35934
350.28,215.81,1.4998,0.37491
367.38,210.04,1.5349,0.32426
349.73,218.88,1.4539,0.36321
342.24,237.6,1.389,0.42009
320.52,212.66,1.4329,0.36826
326.48,207.97,1.499,0.35595
390.33,269.29,1.3591,0.27797
335.12,221.22,1.4952,0.3171
371.76,292.15,1.3255,0.31954
341.23,214.47,1.4804,0.31489
361.64,281.21,1.2854,0.36879
344.74,210,1.5051,0.38914
381.16,231.73,1.5076,0.33272
348.68,214.09,1.5509,0.38904
342.27,198.52,1.6071,0.34089
371.05,240.96,1.4189,0.37903
376.22,248.27,1.4726,0.35894
373.83,290.33,1.2851,0.34388
318,198.87,1.507,0.35915
318.03,194.39,1.531,0.33376
332.11,224.31,1.515,0.29291
354.19,230.07,1.5195,0.3084
339.48,224.06,1.4684,0.31874
301,195.75,1.4764,0.35929
388.04,241.66,1.5121,0.36442
367.46,213.11,1.6123,0.42835
350.75,216.57,1.6058,0.36091
317.57,210.77,1.4862,0.34178
298.38,178.07,1.571,0.4009
396.19,253.23,1.4256,0.34938
360.88,207.74,1.5739,0.34087
362.02,290.2,1.2688,0.35386
267.28,168.16,1.5097,0.33528
324.41,206.87,1.4467,0.37596
398.75,275.78,1.4185,0.34319
343.94,225.68,1.4457,0.34158
248.54,154.43,1.5873,0.37493
377.27,284.07,1.339,0.27402
384.56,277.63,1.3277,0.35205
399.48,221.55,1.5531,0.35288
397.45,307.07,1.3134,0.29947
364.11,243.99,1.4048,0.32539
328.95,221.22,1.5004,0.31715
369.55,234.95,1.4451,0.34945
307.6,224.13,1.2564,0.3688
373,232.39,1.5134,0.32574
318.59,230.17,1.3753,0.31593
363.93,269.01,1.3745,0.31417
347.05,210.38,1.4846,0.39258
314.36,175.75,1.6707,0.36306
351.87,238.35,1.461,0.38325
380.56,267.17,1.4108,0.36438
393.79,284.56,1.2808,0.44554
380.65,236.57,1.4868,0.30124
276.99,160.82,1.6765,0.31175
364.81,209.97,1.5722,0.37638
246.69,161.46,1.5599,0.40102
346.5,260.59,1.3018,0.35817
304.54,226.22,1.3537,0.32699
367.5,219.97,1.4652,0.4333
388.57,232.88,1.5307,0.35571
389.15,275.7,1.372,0.34321
329.9,226.81,1.4443,0.33117
396.35,278.2,1.3046,0.33432
334.61,235.07,1.4572,0.39903
361.97,294.33,1.2517,0.31019
368.95,257.15,1.3676,0.314
337.28,190.99,1.6168,0.31861
384.5,241.32,1.5005,0.30821
388.64,273.41,1.3402,0.34009
350.38,189.97,1.5758,0.35277
377.84,289.58,1.3033,0.36766
355.13,209.45,1.5251,0.34952
344.19,239.28,1.3994,0.3687
305.53,184.83,1.5962,0.32032
317.15,222.12,1.4203,0.2851
285.69,180.26,1.559,0.29385
370.94,213.4,1.5703,0.32304
290.18,169.83,1.6516,0.36384
306.93,189.45,1.4702,0.31828
397.56,322.45,1.2243,0.38207
387.93,273.82,1.3896,0.2792
365.56,239.99,1.4143,0.37218
376.38,219.91,1.6111,0.32706
241.37,150.41,1.5167,0.37424
355.46,200.16,1.5396,0.42418
360.74,222.1,1.5463,0.34294
346.62,227.3,1.4511,0.36227
379.99,225.49,1.566,0.34802
328.83,279.47,1.2985,0.36825
353.68,236.27,1.4428,0.30496
262.38,158.12,1.5575,0.44194
318,196.3,1.5357,0.34638
335.08,194.56,1.5057,0.35578
353.14,261.61,1.2789,0.40394
259.26,175.64,1.4662,0.33426
335.94,217.8,1.496,0.30191
369.73,268.04,1.3226,0.29018
383.15,268.37,1.3628,0.31875
388.64,243.27,1.5262,0.38072
372.09,249.47,1.4259,0.3075
388.67,232.38,1.5662,0.34443
339.37,189.82,1.6275,0.35019
380.36,260.56,1.3633,0.30938
390.43,272.86,1.3422,0.38272
309.51,196.15,1.5952,0.35715
337.64,207.07,1.5019,0.33737
364.53,240.77,1.5376,0.33448
386.23,245.31,1.4831,0.3349
399.29,291.09,1.3404,0.30822
362.37,231.11,1.5451,0.28844
306.44,214.14,1.4517,0.31827
381.94,242.59,1.4335,0.32161
353.03,215.17,1.5425,0.31336
274.57,175.34,1.5583,0.36773
357.95,209.5,1.5621,0.33765
206.18,127.18,1.646,0.34209
362.16,235.72,1.4264,0.29405
331.58,220,1.454,0.33327
384.42,224.38,1.6274,0.3905
371.89,234.19,1.4791,0.35273
315.04,180.34,1.6289,0.36316
353.74,228.72,1.5205,0.30445
385.75,230,1.5234,0.30892
229.29,171.12,1.4474,0.36894
392.02,231.44,1.597,0.36723
384.42,233.68,1.4488,0.31458
393.37,288.5,1.359,0.32
341.95,203.7,1.5839,0.31956
387.68,247.04,1.471,0.30137
343.11,240.14,1.4377,0.31389
398.14,236.53,1.5495,0.34309
365.02,234.34,1.4385,0.33909
396.42,284.5,1.3681,0.34176
